-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2020 through 12/31/2020 
Location: Latitude  -21.9344   Longitude -50.5163 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 445.47 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN       CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
CLRSKY_SFC_SW_DWN       CERES SYN1deg Clear Sky Surface Shortwave Downward Irradiance (kW-hr/m^2/day) 
ALLSKY_KT               CERES SYN1deg All Sky Insolation Clearness Index (dimensionless) 
ALLSKY_SFC_LW_DWN       CERES SYN1deg All Sky Surface Longwave Downward Irradiance (W/m^2) 
ALLSKY_SFC_PAR_TOT      CERES SYN1deg All Sky Surface PAR Total (W/m^2) 
CLRSKY_SFC_PAR_TOT      CERES SYN1deg Clear Sky Surface PAR Total (W/m^2) 
ALLSKY_SFC_UVA          CERES SYN1deg All Sky Surface UVA Irradiance (W/m^2) 
ALLSKY_SFC_UVB          CERES SYN1deg All Sky Surface UVB Irradiance (W/m^2) 
ALLSKY_SFC_UV_INDEX     CERES SYN1deg All Sky Surface UV Index (dimensionless) 
-END HEADER-
YEAR,MO,DY,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,ALLSKY_KT,ALLSKY_SFC_LW_DWN,ALLSKY_SFC_PAR_TOT,CLRSKY_SFC_PAR_TOT,ALLSKY_SFC_UVA,ALLSKY_SFC_UVB,ALLSKY_SFC_UV_INDEX
2020,1,1,6.11,8.39,0.52,425.1,121.29,162.95,16.52,0.53,2.85
2020,1,2,6.9,8.36,0.59,422.33,137.93,164.2,18.65,0.58,3.07
2020,1,3,3.41,8.2,0.29,423.58,71.51,159.68,10.3,0.32,1.65
2020,1,4,6.3,8.32,0.54,413.34,124.08,160.82,16.68,0.51,2.65
2020,1,5,5.17,8.29,0.44,409.55,104.16,159.52,14.33,0.45,2.31
2020,1,6,7.76,8.45,0.66,404.76,151.79,163.27,20.12,0.63,3.39
2020,1,7,3.71,7.95,0.31,420.98,76.8,154.78,10.76,0.35,1.86
2020,1,8,4.24,7.79,0.36,424.84,85.87,151.0,11.77,0.4,2.12
2020,1,9,4.41,7.9,0.38,426.48,89.91,154.14,12.5,0.42,2.24
2020,1,10,6.12,8.01,0.52,425.12,123.19,156.78,16.48,0.54,2.86
2020,1,11,5.32,7.93,0.45,427.83,106.91,155.0,14.62,0.47,2.48
2020,1,12,4.94,7.85,0.42,422.37,99.72,153.38,13.66,0.45,2.36
2020,1,13,5.08,7.56,0.44,421.57,102.36,146.25,13.57,0.43,2.23
2020,1,14,6.51,7.72,0.55,413.16,126.73,147.27,16.28,0.5,2.63
2020,1,15,8.24,8.41,0.7,405.55,160.84,162.75,21.23,0.66,3.52
2020,1,16,7.57,8.35,0.65,417.91,148.71,161.81,19.82,0.63,3.4
2020,1,17,5.48,7.65,0.47,421.37,108.8,147.05,14.31,0.44,2.3
2020,1,18,7.16,8.0,0.62,407.27,140.21,154.96,18.24,0.57,3.03
